id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
5,2,R37,5719.16744,1.36729,145.0,293.15,Gaussian,171,0.063261593172585,0.1261329017037718,0.0009355334726752,5719.166921182298,0.0003269451795249,0.0392396101489858,0.0003512677419041,,,0.0924022187710347,0.000827172304617,1.2823713008442623,0.0092718635322535
6,2,R35,5723.29651,1.82164,145.0,293.15,Gaussian,268,0.0712213383596408,0.2736681194716607,0.0013143773124297,5723.299040481199,0.0003316040584009,0.0614579719708994,0.0003563254388812,,,0.1447224615565133,0.0008390822708207,1.7764626055411528,0.0083148218985248
7,3,R37,5735.10744,1.37998,145.0,293.15,Gaussian,166,0.0638915155300475,0.1238333756468243,0.0009346962085781,5735.10691664458,0.0003239529486245,0.0382246872542981,0.0003486056909306,,,0.0900122580401664,0.0008209036562565,1.2924205597457978,0.0094989932838647
8,3,R35,5739.26099,1.82277,145.0,293.15,Gaussian,258,0.0704125010578379,0.2646999405723932,0.0012779662178295,5739.25946538383,0.0003215627742987,0.0593101044589527,0.0003458718786894,,,0.1396646201820312,0.0008144660172532,1.7804723843455257,0.0083728440980307
9,4,R37,5749.7913,1.32506,145.0,293.15,Gaussian,148,0.0618749898190632,0.1051288030544079,0.0008541093403289,5749.791323132022,0.00030963517399,0.0338550371105801,0.0003321615545348,,,0.0797225184887363,0.0007821806680489,1.2388208688055355,0.0098058524156828
10,4,R35,5753.96086,1.8119,145.0,293.15,Gaussian,225,0.0705449417657021,0.2277775866056682,0.0011927051814035,5753.961362560069,0.0003030968153936,0.0514909863277734,0.0003253026630695,,,0.1212520044243675,0.0007660292147296,1.7647771147840772,0.0090096661076647
11,5,R37,5763.2096,1.18925,145.0,293.15,Gaussian,122,0.0526190496329824,0.0787939342370083,0.0006602569005768,5763.209285352329,0.0002642855261637,0.0281176175045718,0.0002845381517217,,,0.0662119280521159,0.0006700361314059,1.117955080847434,0.0091317513885933
12,5,R35,5767.39423,1.76706,145.0,293.15,Gaussian,179,0.0687024692912039,0.1763461845406217,0.0010387507200722,5767.393801602125,0.0002715996221247,0.0410452854369101,0.0002918159783634,,,0.0966542590525446,0.0006871741060601,1.7140081183013498,0.0098406441933181
13,6,R37,5775.34917,0.99601,145.0,293.15,Gaussian,99,0.0453074224659357,0.0534079233388823,0.0005143627181212,5775.349289011288,0.0002465302991106,0.0228082369928581,0.0002653784914527,,,0.0537092926355222,0.0006249185782651,0.934166011240108,0.0087659109862203
14,6,R35,5779.54604,1.67379,145.0,293.15,Gaussian,134,0.067037909066294,0.1244634824837533,0.0008875497859574,5779.545416470347,0.0002480884886901,0.0310055137326885,0.000267536801828,,,0.0730124038480096,0.0006300010142331,1.601448967953375,0.0111042139216625
