wavenumber,absorption,branch,j,m,pressure,temperature,evals,npoints,r2,amplitude,amplitude_stderr,center,center_std,sigma,sigma_stderr,gamma,gamma_stderr,fwhm,fwhm_stderr,height,height_stderr
5341.321654,0.021476953633074336,P,12,-12,0.1,293,26,174,0.9999425417068198,0.000655172530550141,6.192173832116796e-07,5341.321430692733,2.8328372259114678e-05,0.004665902172460434,3.045984918849003e-05,0.007768005272476564,2.812061948858329e-05,0.0214585071842538,2.538588766799879e-05,0.02148895948048264,1.843306496603514e-05
5374.629654,0.058923810390579034,P,11,-11,0.1,293,26,196,0.9999781651374514,0.0019833068962927247,1.0713231614149905e-06,5374.629236268953,1.694937309226965e-05,0.004715286174981348,2.066242090179454e-05,0.008873088322189082,1.7912249111020834e-05,0.023325534201200558,1.6484546040211802e-05,0.05900816944061509,2.9773006958502657e-05
5406.878654,0.14530735804290784,P,10,-10,0.1,293,26,215,0.9999987226353453,0.005322047920569173,6.555835869248922e-07,5406.878675091613,4.02411000042784e-06,0.004853394426563851,5.397605875239545e-06,0.009851126237503949,4.5218134838563405e-06,0.025185345240405208,4.141405639537388e-06,0.14546135823861006,1.703637366176815e-05
5438.0546540000005,0.29210161784238897,P,9,-9,0.1,293,25,256,0.9983870594307237,0.012711030339512541,4.848704080400402e-05,5438.054990050507,0.00013872893623645814,0.0004972593262425606,0.001781244598390851,0.013626212725685594,0.00015257004970286613,0.02730644563931169,0.00016621759147085843,0.2965372589736229,0.0012583154489246126
5468.143654,0.4952024864726553,P,8,-8,0.1,293,71,313,0.9999860179052928,0.025585777733075243,8.471939918762753e-06,5468.14379484652,1.2668176512296712e-05,0.005665960685017346,2.438575725764602e-05,0.014590198079559025,1.8286197012062044e-05,0.03463791589286586,1.6155504406344804e-05,0.4971529535395292,0.0001662946039463831
5497.129654,0.6861060969191424,P,7,-7,0.1,293,66,406,0.9999749404793704,0.04566950354563065,1.7949791777428978e-05,5497.130040783519,1.64491375706074e-05,0.006636575714188964,3.904322804285843e-05,0.019158754354283436,2.79559755821518e-05,0.04419629533488248,2.4680090337753924e-05,0.6892239835858429,0.0002815853762936237
5524.999654,0.8191986973684648,P,6,-6,0.1,293,81,539,0.9999552810131122,0.07215377043065319,3.3012085428710846e-05,5524.99938370523,2.0580247592159787e-05,0.008592650073163677,5.684596902479235e-05,0.025377109688934363,4.0336342722404216e-05,0.058235830002367414,3.914142148059846e-05,0.8250250063579734,0.0004019373571133377
5551.7376540000005,0.8954776962177808,P,5,-5,0.1,293,76,693,0.999913435725386,0.10150779102626789,5.651447250467852e-05,5551.737714483669,2.7103611575843876e-05,0.01145646736015915,8.308735285010501e-05,0.032281217984107546,5.879928401994971e-05,0.07489640142155499,6.421921293532141e-05,0.9056241087620619,0.0005407553151701893
5577.330654,0.9330300871351387,P,4,-4,0.1,293,64,828,0.9998618665650383,0.1268123220684222,8.12508214636927e-05,5577.331027413332,3.358573362641417e-05,0.014332700685840694,0.00011060086346001238,0.03824343998413998,7.841259646431966e-05,0.08994361703662576,9.030511261516638e-05,0.9461489451283284,0.0006403543121744378
5601.765654000001,0.9499240577818785,P,3,-3,0.1,293,73,879,0.9998120224204036,0.1374859257251148,9.985287300682271e-05,5601.765589745122,3.9150707546435717e-05,0.015757633642509428,0.00013034985055056038,0.04034007321088273,9.4022821253966e-05,0.09592149354153393,0.0001087796661356728,0.9651615674456455,0.0007311306809621017
5625.027654,0.9421044788381333,P,2,-2,0.1,293,68,816,0.9998302493309975,0.12637601114149227,9.085710584614248e-05,5625.027895877176,3.747575817996659e-05,0.01494076925259158,0.00011771177233809601,0.03727118505742005,8.749852350856829e-05,0.08926049084164331,9.912196357575917e-05,0.9554945243019204,0.000719936128137983
5647.104654000001,0.8451864755044405,P,1,-1,0.1,293,96,649,0.9999530523582221,0.0894955133365275,3.7905129947228315e-05,5647.104690329719,2.0474361046534836e-05,0.010001824977680929,6.300855584089958e-05,0.030666914727678074,4.269044125627969e-05,0.06979615860102445,4.5293674065997906e-05,0.8515766896727438,0.0003897225350919551
5687.649654000001,0.8855860981767149,R,0,1,0.1,293,107,648,0.9999159783346864,0.09404516929835605,5.363212364284338e-05,5687.650093886441,2.7537327346948373e-05,0.010852267144575156,7.975198867899115e-05,0.03021193257042143,5.7858497928585374e-05,0.07030088617466876,6.042806344516426e-05,0.8947195384154026,0.0005453011510131028
5706.093654,0.9747277162213481,R,1,2,0.1,293,119,859,0.9996295625945714,0.13913892985135295,0.00014499611932152897,5706.093631324709,5.561595198053255e-05,0.017350584663510527,0.00016880407489992623,0.03832122490819878,0.0001342001915393596,0.09520984700065377,0.00015003628403392917,0.9974066142184624,0.0010639885943752457
5723.301654000001,0.9867708169755279,R,2,3,0.1,293,124,963,0.9994672067233592,0.1587018859716356,0.000187607017027972,5723.301678750941,6.641449752871926e-05,0.020423969092394356,0.00020868499153685614,0.04226906846509226,0.00016954381986909116,0.10733137280351149,0.00018967627275046003,1.0157701725461492,0.0011948083665471476
5739.262654,0.9871007846173862,R,3,4,0.1,293,125,941,0.9994514838663994,0.15518049362857272,0.00018858793145564175,5739.262410855029,6.754603837587888e-05,0.020138764657829655,0.00020834062956317124,0.04120615819456025,0.00017091416558393115,0.1050495920637338,0.0001903180036458908,1.0160043999129789,0.0012313424569719445
5753.964654,0.981010778696719,R,4,5,0.1,293,65,817,0.9995231605945928,0.133698497169374,0.0001630589953554643,5753.964435669529,6.367973795663526e-05,0.017264382932591082,0.00018221048356693474,0.03597592109404413,0.00015133389453182838,0.0911353160482648,0.0001651707421816362,1.00710270069753,0.0012538705496456446
5767.396654,0.9622588511117034,R,5,6,0.1,293,83,648,0.9996552835910434,0.10366533707219344,0.00012173373378581459,5767.396778802499,5.6254771201947586e-05,0.013391797789879811,0.00014190670851387156,0.028756154581597027,0.00012139057750358902,0.0721090706076772,0.00012153536014201314,0.9839161196671069,0.0011966705814726271
5779.548654,0.9136092090193384,R,6,7,0.1,293,55,479,0.9997873990295741,0.07288809686583175,7.881636254293655e-05,5779.54872584798,4.808334432118762e-05,0.009810470072053046,0.00010492527360153864,0.021556146591894254,9.100451740176379e-05,0.05364646243437961,7.840043992244744e-05,0.9277704739873955,0.0010203221753485574
5790.409654000001,0.8072373776820013,R,7,8,0.1,293,51,341,0.9970358886677798,0.04714351346522194,0.00021137397533594105,5790.409202437738,0.00019039613624605587,6.0137080004074583e-05,0.03145344474616571,0.018168125158027904,0.00025302043778492736,0.036336954088548146,0.0002598987087129695,0.8259565512214078,0.004182367153833021
5799.969654,0.5997912939059841,R,8,9,0.1,293,85,260,0.999945678961643,0.026558725114437243,1.9381240486692253e-05,5799.969978639412,2.6706353937258138e-05,0.0062345353747733645,3.794202103755208e-05,0.011546639101722433,3.387851582380929e-05,0.030540360650997137,2.9338272102683802e-05,0.6045816263756698,0.0004192799390512071
5808.219654,0.35263286487728984,R,9,10,0.1,293,27,217,0.9999861247697776,0.013241360797479285,5.425422919520687e-06,5808.2197715328575,1.4004999873333232e-05,0.005587655747829878,1.704810617613902e-05,0.00967489730615001,1.552491089051938e-05,0.026288872621049654,1.383135033641941e-05,0.3528709813127589,0.00013387796742729617
5815.149654000001,0.1731972560994549,R,10,11,0.1,293,41,184,0.9999933704032709,0.0056331611878635,1.7703502956929615e-06,5815.149889263349,1.0125945780545854e-05,0.005249007561286545,1.0414897113067764e-05,0.008056309548095941,9.988837957105088e-06,0.02307103637213906,8.878740877153415e-06,0.17354975336778528,4.88271372014903e-05
5820.751654000001,0.06890351527332128,R,11,12,0.1,293,26,169,0.9999995621885539,0.002090801074546511,1.7838356097399086e-07,5820.751382106634,2.6809249055495178e-06,0.005123876704929697,2.5383793465158036e-06,0.007348992051045278,2.503400762981506e-06,0.02172741938749997,2.212868055950642e-06,0.06898019592908108,5.180269948982108e-06
5825.015654000001,0.023665275464169966,R,12,13,0.1,293,36,160,0.999751532341127,0.0006857478509228465,1.4463484400896233e-06,5825.015664369888,6.520710902836326e-05,0.005089148255256193,5.813562124288152e-05,0.006865194571497035,5.888617057422555e-05,0.02092145514190047,5.1438089420279725e-05,0.02368078413483698,4.3354322725023746e-05
5341.321654,0.02482607314695262,P,12,-12,0.2,293,31,323,0.9999999294183395,0.0013094970869962363,2.993850368002647e-08,5341.32152756797,8.783145121351711e-07,0.0046519699132019365,2.0430069850078037e-06,0.015578871551640838,1.2691423026547584e-06,0.034830440928630524,1.1798611142109763e-06,0.024826363810721102,5.93872414789619e-07
5374.629654,0.06666355920923417,P,11,-11,0.2,293,31,366,0.9999999607013266,0.003962470875462809,6.355051848191334e-08,5374.629176928868,6.469427189361436e-07,0.004728948616437578,1.7363517155180975e-06,0.017785549918998,1.004629194618642e-06,0.03896797914206415,9.295581339785208e-07,0.06670792072051007,1.1376200611728635e-06
5406.878654,0.1613786021200314,P,10,-10,0.2,293,43,407,0.9999998514345648,0.010617781583465047,3.1480565255943334e-07,5406.8786861836525,1.2413294599475013e-06,0.004879932040578183,3.711760712166874e-06,0.01985091238837805,2.0424210362958718e-06,0.04298376885464532,1.9046857784648216e-06,0.16142758149563968,5.149122448857771e-06
5438.0546540000005,0.3159204939306792,P,9,-9,0.2,293,47,492,0.9999995865834825,0.024973369080888486,1.1263024663767511e-06,5438.055136842833,1.9966270093213365e-06,0.005237950860641216,7.168284935258936e-06,0.02408951462792741,3.6053288469279914e-06,0.05134775009643149,3.5409959641433208e-06,0.31620076612422815,1.5675756661757503e-05
5468.143654,0.5222148907286004,P,8,-8,0.2,293,70,607,0.9999984260752877,0.05092712105457253,4.019604730077591e-06,5468.143765078768,3.7178883428271483e-06,0.006253302830263319,1.5174291975606387e-05,0.029789472749700563,7.354620644864633e-06,0.06324657510866376,7.911112415071937e-06,0.5228216980452192,4.6116715014795815e-05
5497.129654,0.7076256775881757,P,7,-7,0.2,293,69,799,0.9999940251800361,0.090874398015091,1.2065558678239278e-05,5497.129976082112,6.934389957640844e-06,0.008797660334828039,3.107661197210201e-05,0.03894037631452907,1.5234846423486932e-05,0.08338371597399742,1.8436110072189523e-05,0.7096118064750818,0.00010568314118557023
5524.999654,0.8325325176489364,P,6,-6,0.2,293,79,1069,0.999979397209353,0.14369999370426179,3.05401298386697e-05,5524.999355362985,1.2804451671436004e-05,0.013556929908508375,5.9934599187723166e-05,0.05147408082960797,3.176091817199744e-05,0.11260977664185276,3.980561783445874e-05,0.8367332532979207,0.00019070112656330743
5551.7376540000005,0.9031499882700742,P,5,-5,0.2,293,90,1380,0.9999452860848935,0.20237872917078026,6.194532087901686e-05,5551.737717189737,2.1429850881878734e-05,0.02004450788301526,0.00010121154864037973,0.06538993301477225,5.9161964970716585e-05,0.14693768476807234,7.220063446616779e-05,0.9109787385381461,0.0002807849468088874
5577.330654,0.9379091853370896,P,4,-4,0.2,293,82,1652,0.9998971829908535,0.2528879563918309,9.751489037199249e-05,5577.33105724738,3.049786652666319e-05,0.026462772433857307,0.00014234757129748973,0.0771481440135735,8.998197595892e-05,0.1775645124906292,0.00010618135089164917,0.949244795374124,0.00035167265492330697
5601.765654000001,0.9538269112530833,P,3,-3,0.2,293,98,1755,0.9998526308803881,0.27405911321652543,0.00012323064177599885,5601.765623090256,3.713162505823707e-05,0.029688549137710518,0.00016934927370457824,0.08113276752192339,0.00011211609699042038,0.18965775616947367,0.00012979182918009205,0.9678606725835072,0.0004094690647340943
5625.027654,0.9468932916551211,P,2,-2,0.2,293,119,1629,0.9998728577275187,0.25216289961670624,0.00010916527160939443,5625.027906630919,3.390521713470467e-05,0.026966715290877297,0.0001537058696098617,0.07560911503761536,9.999041759072372e-05,0.17563254758932742,0.0001171307457714458,0.9597322055952761,0.0003973486877487146
5647.104654000001,0.8548844909015986,P,1,-1,0.2,293,155,1293,0.9999745967160437,0.17842026276939804,3.82319619974029e-05,5647.104688513727,1.4542494024150489e-05,0.016736921710205632,7.228394940257312e-05,0.06204354787685079,3.843335064674022e-05,0.13625430987430498,4.8129588634137594e-05,0.8596922185430015,0.000192023956014826
5687.649654000001,0.8949051502345131,R,0,1,0.2,293,97,1292,0.9999501127008824,0.1873763406007205,5.6591320432312554e-05,5687.650106515221,2.0444351246874572e-05,0.018474227171453583,9.414440814854835e-05,0.06122290604264169,5.4595895047361945e-05,0.13715332009374454,6.71701218914819e-05,0.9027270887039079,0.00027969659536310985
5706.093654,0.9777542800898741,R,1,2,0.2,293,102,1719,0.9996995774488774,0.2772968896216946,0.00018163592423572794,5706.093690614222,5.3153633502623336e-05,0.03262656230560074,0.00022299427919829235,0.07747192686842097,0.00016228393423684199,0.18820254967900868,0.00018257927489117697,0.9987411279658431,0.0006023911689312142
5723.301654000001,0.9885024217365614,R,2,3,0.2,293,93,1930,0.99954175191565,0.3164502199302608,0.00024307593864876544,5723.3017341907425,6.788109162359575e-05,0.03910062017579319,0.00028065614009836943,0.08542060591618716,0.000215383662207439,0.21298486941179287,0.00023520199015615446,1.0151440886184846,0.0006951531020894734
5739.262654,0.9888854900141836,R,3,4,0.2,293,119,1886,0.9995305669374687,0.3094045548891413,0.00024345560634730047,5739.262465490352,6.830459888706741e-05,0.03839176730987548,0.00028005805661235973,0.08334595787645671,0.00021571139687227495,0.20824175576702159,0.00023574984345167625,1.0157807388055793,0.0007141841107718151
5753.964654,0.9838733938722991,R,4,5,0.2,293,97,1637,0.9996149455534763,0.2663195277946174,0.00020320713802624135,5753.964492398214,5.966888550061575e-05,0.03231608411731257,0.0002401733454366848,0.07293514812154817,0.00018092388706212478,0.17996136828905696,0.00020146618677053423,1.0079078766615401,0.00070571354759007
5767.396654,0.9683965869240914,R,5,6,0.2,293,110,1295,0.9997550825091782,0.20625816969275218,0.000140313071322373,5767.39677361812,4.57227863701513e-05,0.02371023902118352,0.00017828822436244263,0.05881325577527352,0.00012672170370953554,0.14107639509726533,0.00014754559399452475,0.9871753547422518,0.0006562897074644954
5779.548654,0.928071595408315,R,6,7,0.2,293,67,953,0.9998837743349247,0.14461468320888804,7.865179706452204e-05,5779.548598027212,3.1109449107570445e-05,0.01570644158946838,0.00011278121133279027,0.04435413951632411,7.501923962715798e-05,0.10285258189560373,9.0038265845821e-05,0.939364175283242,0.0005420878198978454
5790.409654000001,0.8381856261618915,R,7,8,0.2,293,118,671,0.9999570526205808,0.09133615242831922,3.636546796238849e-05,5790.409674035687,1.9782216694151783e-05,0.010135499885424726,6.169259914692525e-05,0.03165341690985812,4.123801651535832e-05,0.07176107283330241,4.391379392804192e-05,0.8442397504473987,0.00036389458601422
5799.969654,0.6452193308734424,R,8,9,0.2,293,48,502,0.9999897954276684,0.05251338370635705,1.1791346401317582e-05,5799.969954938863,1.0375013291644423e-05,0.006975499012900066,2.9610675669953187e-05,0.02405151370112324,1.884935685239555e-05,0.05348278978862399,1.7601131769999683e-05,0.6472372631971202,0.00015529376300518093
5808.219654,0.3930131875231344,R,9,10,0.2,293,42,411,0.9999973022835088,0.02627707976138899,3.3170863361231806e-06,5808.21978435002,5.553782638254989e-06,0.00571829632129317,1.4399796413735022e-05,0.01980408804268391,8.945254559389762e-06,0.044002625786117106,8.143844753146277e-06,0.3935441458047105,5.249927354205677e-05
5815.149654000001,0.20047969218587114,R,10,11,0.2,293,48,341,0.9999989283471733,0.011212739670444671,9.746922439982462e-07,5815.149928418526,3.587645032041884e-06,0.00529788258601005,7.747246978433331e-06,0.016314731207462407,5.130684247598802e-06,0.037096879076600295,4.687172872043483e-06,0.20067772301896009,1.8022989227345666e-05
5820.751654000001,0.08158032453844977,R,11,12,0.2,293,31,311,0.9999987881269898,0.004173749087674317,4.045343004360878e-07,5820.751401154243,3.856678028685881e-06,0.0051168314875535414,7.565583875422612e-06,0.014789830099816992,5.164900868724898e-06,0.034108004163573305,4.79581414314709e-06,0.08161127571857199,8.07513352718872e-06
5825.015654000001,0.028464058168083395,R,12,13,0.2,293,27,292,0.999999726530958,0.0013708430337754374,6.534301241310399e-08,5825.015845620553,1.8463992869102813e-06,0.005072283263114208,3.3398136589719796e-06,0.01378221882430003,2.368172403513839e-06,0.03226411168629384,2.2004768604216562e-06,0.028471101883483764,1.3675026814943247e-06
5341.321654,0.02618503945017847,P,12,-12,0.4,293,37,627,0.9999999950288238,0.002618508177986534,1.1319629472765776e-08,5341.321523620441,2.0404858668693992e-07,0.0046660284568725285,1.1362508648233007e-06,0.031157553720461695,4.0471682441386586e-07,0.06432690757518586,4.5703465537270843e-07,0.026187533945003293,1.29776283905064e-07
5374.629654,0.06961421319281969,P,11,-11,0.4,293,42,716,0.9999999962504088,0.007922402497610559,2.7638763318218884e-08,5374.629173056751,1.7352405633834641e-07,0.004740347339408091,1.1401292391550854e-06,0.03560800526266811,3.590597834754261e-07,0.0730454627035571,4.287321850749023e-07,0.0696269004372668,2.8062476910543805e-07
5406.878654,0.16721216776633963,P,10,-10,0.4,293,48,799,0.9999999840093785,0.02122089236407032,1.4395717013157908e-07,5406.878681800402,3.547005383635438e-07,0.0049693499352335135,2.6297485560018744e-06,0.03978775771898424,7.599486410907893e-07,0.0813804938781616,9.548388165330916e-07,0.16723822327387086,1.3232126722429933e-06
5438.0546540000005,0.32396217768760494,P,9,-9,0.4,293,50,970,0.9999999469726825,0.04989629842737536,5.552015827990687e-07,5438.055133254043,6.408186206203689e-07,0.00573873579415185,5.4752483925498784e-06,0.04834634833622814,1.4662957388785562e-06,0.09867822806515467,1.9231385914960184e-06,0.32406904831473693,4.1591165223688804e-06
5468.143654,0.5307293775718598,P,8,-8,0.4,293,80,1205,0.9999996374582143,0.10172225437273918,2.6482649282913018e-06,5468.143767085116,1.694447724720544e-06,0.00830151637996851,1.3969261899810878e-05,0.059858423346452194,4.204979623790017e-06,0.12304703413867901,5.585587575944678e-06,0.5310748431882046,1.546477148480475e-05
5497.129654,0.7139573777203243,P,7,-7,0.4,293,80,1592,0.9999971687036595,0.18153837932637162,1.1531965748690728e-05,5497.129983088537,4.946816223259804e-06,0.014405507124848338,3.550658444902931e-05,0.07829445272233809,1.3610641818309464e-05,0.16409749298467102,1.7509531043416504e-05,0.7152547285686152,4.7678535319505195e-05
5524.999654,0.8362437834661429,P,6,-6,0.4,293,71,2137,0.99998503305265,0.2871262274162385,3.649653339127439e-05,5524.9993765394565,1.2334842983069599e-05,0.024905032412738393,7.668341803656443e-05,0.10337631397489971,3.711929005993394e-05,0.22321678171193943,4.498526266658068e-05,0.8398381298757257,0.00010389665347847506
5551.7376540000005,0.9052116152464275,P,5,-5,0.4,293,98,2764,0.9999524353169815,0.4044580783077557,8.128278022342578e-05,5551.73774271157,2.417481195777183e-05,0.03857346089643637,0.00013609060494678462,0.1311751540698436,7.701343857745478e-05,0.2924322082558408,8.979454480119533e-05,0.9124567722216503,0.0001703306501465961
5577.330654,0.9391970725313374,P,4,-4,0.4,293,119,3315,0.999904785880482,0.5055511243804892,0.00013215446272785752,5577.331086505234,3.6937830978933114e-05,0.05158780216442033,0.0001952640123823804,0.1547628378055238,0.00012139233381680005,0.3539100751147396,0.00013759092748022233,0.9501356300241907,0.0002238629609210957
5601.765654000001,0.9548505356796174,P,3,-3,0.4,293,66,3522,0.9998611984069794,0.5478617751702729,0.00016846669807138077,5601.765652198063,4.5896221530833326e-05,0.05822387561805836,0.00023355281639349048,0.16269834170683062,0.00015271965332166513,0.37824166917542335,0.00017058627041414794,0.9684736176556952,0.00026465746371565524
5625.027654,0.948158351039065,P,2,-2,0.4,293,140,3267,0.9998820472594836,0.5040546787725985,0.00014809889582498788,5625.027938571451,4.0970257046315015e-05,0.05263451226194288,0.0002108599479500253,0.1516831376770872,0.00013508360594543617,0.35005187735261484,0.00015172645967138625,0.9605527133457541,0.0002525144054037312
5647.104654000001,0.85752101771418,P,1,-1,0.4,293,57,2590,0.999979177539268,0.35664839013137595,4.865979155777315e-05,5647.104709927806,1.5562578237253206e-05,0.031481101579496906,9.634507864882472e-05,0.12454718032651135,4.832815169784e-05,0.2707707343584753,5.793037863231232e-05,0.8619007520345661,0.0001124581282334744
5687.649654000001,0.8974446434013541,R,0,1,0.4,293,81,2592,0.9999575225685096,0.37453512490146823,7.338383882665776e-05,5687.650121575074,2.2309683094069295e-05,0.03519133713149325,0.00012652266831549074,0.12299761469077602,7.002924362710814e-05,0.27284006360753543,8.249693113967763e-05,0.9041670188420088,0.00016655552829921038
5706.093654,0.9785451392201645,R,1,2,0.4,293,93,3465,0.9997133761181471,0.5544350498121312,0.0002494772567316119,5706.093732367829,6.57888988786712e-05,0.0639270179370946,0.00030878641800205384,0.1556293277801385,0.0002220936312013666,0.37531397842113434,0.00024070891571584033,0.9991061502442657,0.00038974485907819994
5723.301654000001,0.9889482485931298,R,2,3,0.4,293,135,3903,0.9995552112295903,0.6328861309092135,0.0003366139264441581,5723.301772776197,8.644932012602936e-05,0.07699695927974315,0.0003906732477040455,0.1716056686956416,0.00029765170666530897,0.42511766918603433,0.00031465705015102063,1.0151715424881114,0.00045780175597016177
5739.262654,0.9893452334071737,R,3,4,0.4,293,88,3822,0.9995447033987134,0.6188619480537052,0.0003367151293318954,5739.262506882827,8.654673797657215e-05,0.07543568022661928,0.0003899542354273398,0.16755643839378387,0.0002976128225070013,0.41553841114259615,0.00031475438899110293,1.0158944175450861,0.0004690063018901857
5753.964654,0.9846202618050505,R,4,5,0.4,293,90,3315,0.9996322356805168,0.5325619439365039,0.0002785701440210672,5753.964539443486,7.30649187935627e-05,0.06316189558888491,0.0003327587926086766,0.14671810786571038,0.00024677364992929586,0.358791766281788,0.0002651798081765072,1.0081895308234274,0.0004545238848216704
5767.396654,0.9700475978594449,R,5,6,0.4,293,91,2616,0.9997772291106786,0.41207346973053893,0.00018756971603607966,5767.396818386392,5.1688142455737565e-05,0.04603465092441833,0.00024203184206523197,0.11820428337099897,0.00016811152995112067,0.28083996505919784,0.00018614218412301407,0.9877870641727861,0.00040013818152193504
5779.548654,0.9321934094073439,R,6,7,0.4,293,87,1919,0.9999088195981751,0.2886038166891729,9.710855348782151e-05,5779.548642001797,2.9860019633753328e-05,0.029390745963612797,0.00014625754562764756,0.08920571633917324,8.991313322672198e-05,0.20347337529442175,0.00010573872928596256,0.9426559776721476,0.00030179130592137264
5790.409654000001,0.847887839019345,R,7,8,0.4,293,85,1341,0.9999758872702933,0.18219682460070763,3.733944744348787e-05,5790.409671054343,1.4320196717318233e-05,0.016783686514692253,7.257535635961902e-05,0.06409720816142134,3.779888048644886e-05,0.14009787419179848,4.7309664930785146e-05,0.8524851614868394,0.00018211692356452977
5799.969654,0.6610690038664382,R,8,9,0.4,293,69,997,0.9999967039126051,0.10473921903144418,9.158107836836594e-06,5799.969924088978,5.2197489693325666e-06,0.009303246043799451,2.9033364400605073e-05,0.048675017752438376,1.2017561827292089e-05,0.10236880612857718,1.5331544309319357e-05,0.6622588512949534,6.526171421928587e-05
5808.219654,0.40833095256420116,R,9,10,0.4,293,59,811,0.9999993680805048,0.05246294406773444,2.2344332684056777e-06,5808.219753641649,2.3227906942140134e-06,0.006178856171775993,1.3670433961152897e-05,0.03996252004362377,4.9083028398069885e-06,0.08266969713184302,5.916699199318622e-06,0.40853120593837067,1.994643439049739e-05
5815.149654000001,0.2118725452636151,R,10,11,0.4,293,59,669,0.9999995262363504,0.022407897789237907,9.183414656578193e-07,5815.1499086818585,2.082854660180042e-06,0.005277014140813718,1.0730726814929223e-05,0.03284004994870526,4.094254789099967e-06,0.06810953110244647,4.5370887182654365e-06,0.21197231596294278,9.897589874735141e-06
5820.751654000001,0.0871712776451844,R,11,12,0.4,293,50,608,0.9999993090696242,0.008350421608723735,4.3527524434100225e-07,5820.75137183969,2.572134194862563e-06,0.004993238300115277,1.2124167991766656e-05,0.02968364732735984,4.85628256544742e-06,0.06176530670107906,5.1265741390092535e-06,0.087200696157622,5.13172127715843e-06
5825.015654000001,0.03067395368622583,R,12,13,0.4,293,37,576,0.9999972460020425,0.0027469553384203427,2.94443351456046e-07,5825.01583086126,5.194889866387479e-06,0.004783612845981888,2.3108022892659234e-05,0.027709210332144962,9.510135712174758e-06,0.057771137930952454,9.715778200579724e-06,0.030688856998718535,3.686768803784188e-06
5341.321654,0.026485770788368335,P,12,-12,0.6,293,41,935,0.9999999978088976,0.0039277831519868855,9.037679911143809e-09,5341.32152358279,1.2910626263714294e-07,0.004654142091235491,1.2853094345267066e-06,0.04674705457792527,2.9211391149953904e-07,0.0948533783063353,3.839326070685579e-07,0.026487462563853273,7.088000304615493e-08
5374.629654,0.070248154186768,P,11,-11,0.6,293,43,1068,0.9999999981373454,0.011883193704184558,2.3487271433254832e-08,5374.6291732936925,1.194541064567611e-07,0.00475230045479752,1.411735491259924e-06,0.05342463042549206,2.820253035198262e-07,0.10809320839941655,3.789363746086772e-07,0.070253958598114,1.605001488034988e-07
5406.878654,0.16843920195597006,P,10,-10,0.6,293,47,1193,0.9999999944636209,0.0318287657451406,1.0239069934994344e-07,5406.878681848037,2.0790976960957822e-07,0.0050909649544317315,2.666633303566482e-06,0.059716420888447364,5.089056683208088e-07,0.12071129417819683,6.816243451728388e-07,0.16845159012924163,6.145152579263306e-07
5438.0546540000005,0.3256051210383003,P,9,-9,0.6,293,53,1452,0.999999975688498,0.07483418191518132,4.564388961754496e-07,5438.055133421192,4.470361376384714e-07,0.006471048724598916,5.9810657933243595e-06,0.0725785237525503,1.1654845444375393e-06,0.14685471233033426,1.5724949015777256e-06,0.3256534655954205,2.213681573160737e-06
5468.143654,0.532426533489694,P,8,-8,0.6,293,92,1806,0.9999997652265182,0.15255746247568547,2.5981019482089012e-06,5468.14376816754,1.4571105620699956e-06,0.01086344336513445,1.5565838512290097e-05,0.0898878371539999,4.063431280458196e-06,0.18359955239837905,5.293347851283211e-06,0.5326670091562863,9.608040101494208e-06
5497.129654,0.7151921300752938,P,7,-7,0.6,293,85,2390,0.9999975757378503,0.2722733838155986,1.3036614986049897e-05,5497.129986882325,5.106057821576663e-06,0.020565306076366086,4.178602064313086e-05,0.11758204618498663,1.530495985755826e-05,0.24540012490805296,1.9123163380478434e-05,0.7163381374407749,3.43367826283601e-05
5524.999654,0.8369552278998549,P,6,-6,0.6,293,81,3211,0.9999857122872712,0.43068180779619303,4.3591370583994884e-05,5524.999383829583,1.3937554451010292e-05,0.03661791813866361,9.297191802122414e-05,0.15524493097529235,4.4218693610397764e-05,0.3342624851011545,5.2671842125733396e-05,0.8404531250050417,8.052687145703852e-05
5551.7376540000005,0.905605452464099,P,5,-5,0.6,293,76,4163,0.9999528351339231,0.6067910863320357,9.892001198777856e-05,5551.737753508905,2.843162296323684e-05,0.05721343844450527,0.00016675978802390304,0.1970332103142955,9.36299456970374e-05,0.43823461390561713,0.00010767508111756461,0.9127903029121741,0.00013556174738070295
5577.330654,0.9394442882937959,P,4,-4,0.6,293,121,5000,0.9999045310827718,0.7585795792420778,0.00016165018923882784,5577.331094036826,4.412806335291514e-05,0.0767196198885084,0.0002397474343025227,0.23252447803096377,0.00014832694951134507,0.5305406967936984,0.00016635878310848514,0.9503516711610532,0.00017992831403435046
5601.765654000001,0.9550468847657915,P,3,-3,0.6,293,83,5320,0.9998606672062977,0.8221270164956895,0.00020612686045648216,5601.765657459473,5.499338491755525e-05,0.0866397811714828,0.0002864172877551115,0.24449847726245644,0.00018674243176482853,0.567059492001785,0.00020612813121951358,0.9686562638578551,0.00021268722506020618
