wavenumber,absorption,branch,j,m,pressure,temperature,evals,npoints,r2,amplitude,amplitude_stderr,center,center_std,sigma,sigma_stderr,gamma,gamma_stderr,fwhm,fwhm_stderr,height,height_stderr
5406.878654,0.06821764010713993,P,10,-10,0.1,293,21,211,0.9999796551752005,0.0024505747513241527,1.2180337885458215e-06,5406.878618855404,1.6112451951817636e-05,0.0047761847741228936,2.127582960747706e-05,0.009654532695631823,1.7778078664289412e-05,0.024718849876098875,1.644354255438855e-05,0.06827222636353783,3.2226250111913656e-05
5438.0546540000005,0.14397408231296582,P,9,-9,0.1,293,31,244,0.9999991814225027,0.005918141652494491,5.395236700542729e-07,5438.055141332291,3.152894411923429e-06,0.004880395554621164,4.9172641864138914e-06,0.011412045710114116,3.821472491268768e-06,0.02785134880751059,3.510708236195723e-06,0.14424004665911264,1.287983359862378e-05
5468.143654,0.26480466416837223,P,8,-8,0.1,293,57,287,0.9999976201888596,0.012581000619505345,1.786819230457993e-06,5468.1437786752185,5.264635190102428e-06,0.005101410770868842,9.730455682249736e-06,0.013517546547564818,7.065918392029733e-06,0.0318489241646981,6.438522642103315e-06,0.2652371677998458,3.798792051028651e-05
5497.129654,0.406320167406796,P,7,-7,0.1,293,56,354,0.9999956210287285,0.023548223430721382,4.0826359637144e-06,5497.130010317914,6.988725730518935e-06,0.005469237232167412,1.5998547668726062e-05,0.016890554597322194,1.0716112225326817e-05,0.03838285470213781,9.619523485366028e-06,0.40725006831936067,7.33429063474292e-05
5524.999654,0.5368297036373932,P,6,-6,0.1,293,36,447,0.9993438345917933,0.03948166440010442,7.31475119753426e-05,5524.9990270274775,8.300815273810339e-05,3.6362181002336236e-06,0.35316787840241187,0.023368895302523784,0.0001362686292199138,0.046737934893379365,0.00014808910303238662,0.5377833926069101,0.0011165653494030713
5551.7376540000005,0.6380537861291176,P,5,-5,0.1,293,81,551,0.999993602965636,0.05675047299157898,9.580884374979849e-06,5551.737752265825,7.761032827607768e-06,0.006896983005110213,2.5606961846711014e-05,0.026640833726816193,1.4888156900963017e-05,0.05812698628224243,1.4902889343122214e-05,0.6396177852558526,0.00011780040375535084
5577.330654,0.7037585121601473,P,4,-4,0.1,293,71,640,0.9999910101775596,0.07260576609771541,1.341506954270989e-05,5577.331086000427,8.905234651939635e-06,0.007907645434993837,3.202048369736945e-05,0.030913075960395386,1.8101029830730305e-05,0.0673259599675311,1.9592173514564775e-05,0.7060892986338083,0.0001442052042237914
5601.765654000001,0.7400839440064969,P,3,-3,0.1,293,55,667,0.9999875420327407,0.07977675203028473,1.6984037477652365e-05,5601.765651693571,1.0424624513965771e-05,0.00851453710886102,3.736492937156334e-05,0.032161977339469905,2.1566997480649182e-05,0.07041815221993944,2.3726771738319936e-05,0.743042416537575,0.00017466996321106147
5625.027654,0.722546482255854,P,2,-2,0.1,293,70,624,0.999988262391275,0.07297159331190228,1.5647690084252665e-05,5625.027938530304,1.0302093865484178e-05,0.00806111591771519,3.5355752909565154e-05,0.030108877329095285,2.0771346570595977e-05,0.06604146567056568,2.2084570261431684e-05,0.7251254943390992,0.00017099643095982954
5647.104654000001,0.5680693687082402,P,1,-1,0.1,293,86,531,0.9999961866213095,0.04875770596263285,6.465096973996132e-06,5647.104723881489,6.127127175362044e-06,0.006472622782431325,2.0172355505287774e-05,0.025806261706979305,1.1438642924159113e-05,0.0560402687384189,1.1241935387384934e-05,0.5691159084283972,8.225458363372558e-05
5687.649654000001,0.6230224753383178,R,0,1,0.1,293,76,518,0.999993032810418,0.052317659103297776,9.528369090569606e-06,5687.650142693335,8.382443514745809e-06,0.006801235915816217,2.5686638019456933e-05,0.025011832432344783,1.5531223110511566e-05,0.055000580264450094,1.4949619128829319e-05,0.6247625024353541,0.0001229002067116671
5706.093654,0.8089310925401048,R,1,2,0.1,293,64,633,0.9999684769545292,0.08314787378093835,2.9204507112605275e-05,5706.093726078117,1.699475847784731e-05,0.009290153329303552,5.2933970260773373e-05,0.030037553196937128,3.472468148936655e-05,0.06761675162311384,3.6335013232721346e-05,0.8138050784384564,0.0003099305977971153
